日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/01,松山,AMB_TEMP,15,15,15,15,15,15,15,16,16,16,16,16,15,15,15,15,15,16,16,15,15,16,15,15
2012/01/01,松山,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,1.9,1.9,2,2,2,2,2,2,2,2,2
2012/01/01,松山,CO,0.61,0.66,0.39,0.34,0.36,0.34,0.39,0.45,0.52,0.55,0.51,0.46,0.47,0.43,0.43,0.48,0.5,0.55,0.55,0.57,0.62,0.6,0.55,0.52
2012/01/01,松山,NMHC,0.19,0.23,0.1,0.1,0.1,0.09,0.11,0.13,0.17,0.18,0.16,0.12,0.13,0.1,0.11,0.13,0.12,0.15,0.15,0.15,0.16,0.15,0.12,0.11
2012/01/01,松山,NO,2.9,2.4,0.1,0*,0.1,0.9,1.1,1.6,5.6,6.9,5,2.7,2.5,1.1,1.5,0.9,0.4,0.7,1.1,1.2,0.8,1.8,0.9,1.2
2012/01/01,松山,NO2,28,28,17,13*,12,11,17,22,29,31,25,20,21,17,18,24,24,26,22,22,26,23,16,13
2012/01/01,松山,NOx,30,31,17,13*,12,12,18,24,34,38,30,22,24,18,20,25,24,27,23,24,27,25,17,15
2012/01/01,松山,O3,17,15,26,27,26,28,23,18,14,13,18,25,25,33,42,36,37,35,39,36,33,35,37,37
2012/01/01,松山,PM10,28,43,39,37,35,32,45,41,43,49,55,63,74,80,72,70,72,76,78,81,88,86,77,78
2012/01/01,松山,PM2.5,26,25,20,19,21,21,25,23,28,32,35,42,45,46,48,44,53,51,55,57,59,64,60,66
2012/01/01,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/01,松山,RH,85,84,83,81,81,79,77,75,74,72,73,74,74,72,68,65,64,62,63,68,69,63,61,60
2012/01/01,松山,SO2,3.1,2.9,2.7,3,2.4,2.6,4.2,5.3,4.4,4.1,4.1,3.4,3.6,3.1,3.6,4.3,3.6,3.7,3.5,4.4,4.9,5.3,5.6,6.1
2012/01/01,松山,THC,2.1,2.2,2,2,2,2,2,2.1,2.1,2.2,2.1,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.1
2012/01/01,松山,WD_HR,90,90,102,93,94,97,115,91,94,98,71,81,78,71,63,66,68,65,66,85,78,67,64,58
2012/01/01,松山,WIND_DIREC,90,111,105,101,81,93,124,49,104,114,50,85,65,68,74,64,81,71,72,95,62,68,73,74
2012/01/01,松山,WIND_SPEED,1.6,1.4,1.3,0.9,1.1,1.2,0.7,0.6,1,1.1,2.3,1.7,2.3,2.3,2.1,2.1,2.2,1.9,2.3,2,2.2,2.2,3.1,3.2
2012/01/01,松山,WS_HR,1.3,1.2,1.2,1,0.9,1.1,0.5,0.3,0.8,0.9,1.3,1.5,1.5,1.8,2.2,2,2,1.7,1.9,1.9,1.7,2.2,2.8,3
2012/01/02,松山,AMB_TEMP,15,15,15,15,15,15,15,15,16,16,16,17,17,16,16,16,16,16,16,16,15,15,16,16
2012/01/02,松山,CH4,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2,1.9
2012/01/02,松山,CO,0.52,0.47,0.42,0.4,0.38,0.36,0.44,0.58,0.67,0.56,0.42,0.51,0.51,0.53,0.64,0.71,0.78,0.98,1.24,1.09,1.04,0.83,0.79,0.58
2012/01/02,松山,NMHC,0.1,0.09,0.08,0.08,0.08,0.08,0.1,0.15,0.2,0.18,0.14,0.21,0.18,0.19,0.27,0.36,0.4,0.51,0.6,0.46,0.42,0.29,0.28,0.19
2012/01/02,松山,NO,0.3,0.1,-.5*,2.7,2.1,3,4.2,6.4,7.8,7.4,6.3,10,6.9,9,17,15,26,37,48,27,21,9,8.7,3.8
2012/01/02,松山,NO2,12,11,10*,6.8,8.5,8.2,21,27,29,26,18,31,28,30,39,40,39,40,39,43,45,40,38,27
2012/01/02,松山,NOx,12,11,9.6*,9.5,11,11,25,33,36,33,25,41,35,39,55,56,66,77,87,69,65,49,47,31
2012/01/02,松山,O3,38,39,40,42,42,42,30,24,22,24,30,22,22,19,9.8,6.2,3.9,2.8,3.1,2.9,3.6,7.1,7,.4#
2012/01/02,松山,PM10,91,86,76,86,96,87,82,85,78,84,73,63,67,64,69,82,95,93,160,154,77,77,72,69
2012/01/02,松山,PM2.5,67,65,58,57,56,57,53,51,49,39,36,36,46,44,44,43,45,51,49,52,48,47,44,44
2012/01/02,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/02,松山,RH,58,57,55,57,60,61,57,55,59,59,57,52,54,59,62,64,68,70,73,74,76,77,77,77
2012/01/02,松山,SO2,6.6,6.7,8.4,5.1,5.9,4.3,3.7,2.7,2.7,2.7,2.6,3.7,3.3,3.1,3.1,3.1,3.5,5.6,8.9,4.6,6.1,6.6,6.6,6.7
2012/01/02,松山,THC,2.1,2.1,2,2,2,2,2,2.1,2.1,2.1,2,2.1,2.1,2.1,2.2,2.3,2.4,2.5,2.6,2.4,2.4,2.2,2.2,2.1
2012/01/02,松山,WD_HR,68,73,79,94,88,92,93,93,98,98,96,80,87,90,97,94,88,93,91,92,83,91,96,95
2012/01/02,松山,WIND_DIREC,78,72,81,95,91,87,105,92,91,90,91,68,91,93,94,88,103,94,92,88,85,92,94,90
2012/01/02,松山,WIND_SPEED,2.9,2.7,2,1.9,1.6,1.9,2.1,1.6,1.6,1.8,1.7,2.2,1.5,1.4,1.2,1.4,0.6,1.6,1.6,1.2,1.8,1.7,1.5,1.9
2012/01/02,松山,WS_HR,2.7,2.5,2.2,1.9,1.6,1.6,1.7,1.4,1.6,1.4,1.7,1.9,1.6,1.5,1.1,0.9,0.8,1.3,1.5,1.8,1.5,1.6,1.3,1.3
2012/01/03,松山,AMB_TEMP,16,16,16,16,16,16,16,16,17,18,19,18,18,17,16,16,16,15,15,15,15,14,14,13
2012/01/03,松山,CH4,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/03,松山,CO,0.48,0.4,0.29,0.31,0.3,0.32,0.47,0.81,0.96,0.57,0.52,0.38,0.35,0.37,0.37,0.37,0.39,0.49,0.57,0.57,0.54,0.51,0.47,0.38
2012/01/03,松山,NMHC,0.17,0.19,0.1,0.11,0.12,0.13,0.18,0.29,0.37,0.23,0.27,0.19,0.14,0.18,0.19,0.19,0.21,0.24,0.24,0.22,0.17,0.12,0.1,0.09
2012/01/03,松山,NO,2.9,2.4,2.3,2.7,3.5,3.7,8.4,23,35,11,15,7.9,6.7,8.7,8.9,7.2,6.8,7.7,6.8,7.8,5.4,4.2,3.8,3.4
2012/01/03,松山,NO2,22,19,11,12,12,16,30,39,40,32,33,22,20,26,25,22,24,27,27,30,24,16,12,10
2012/01/03,松山,NOx,25,22,13,15,15,20,39,63,75,43,48,30,27,34,34,29,31,35,34,37,29,20,16,14
2012/01/03,松山,O3,18,21,29,28,27,25,11,4.6,6.1,16,15,24,25,19,20,23,21,20,19,14,19,27,32,35
2012/01/03,松山,PM10,53,47,58,50,46,55,56,40,37,51,58,47,39,29,32,39,29,22,16,29,36,16,11,31
2012/01/03,松山,PM2.5,41,38,29,29,24,27,28,37,33,29,21,24,29,26,23,18,16,23,20,25,15,14,16,20
2012/01/03,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.2,NR,NR
2012/01/03,松山,RH,78,78,78,78,79,79,80,79,77,70,68,73,78,82,84,83,81,80,82,84,85,83,79,78
2012/01/03,松山,SO2,6.2,6.4,4.6,4.7,5.1,3.7,3.2,3.8,5.1,2.5,3,2.5,2,5.1,5.3,1.8,1.5,1.4,1.6,3.6,2.2,2.8,3,2.3
2012/01/03,松山,THC,2.1,2.2,2,2,2,2,2.1,2.2,2.3,2.1,2.2,2.1,2,2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2
2012/01/03,松山,WD_HR,91,88,93,82,81,77,83,81,90,66,79,71,67,75,71,73,67,72,75,84,70,66,60,59
2012/01/03,松山,WIND_DIREC,90,85,91,89,73,82,88,89,77,65,85,74,75,76,69,75,57,74,91,95,60,62,65,66
2012/01/03,松山,WIND_SPEED,1.2,1.9,1.9,1.5,2,1.5,1.4,1.5,1.5,2.2,2.3,3.6,2.3,2.8,3,2.6,3.4,2.1,1.8,1.8,3,3.7,3.9,2.9
