年,週,mean_value
2008,1,2.1654166666666668
2008,2,2.2036521739130435
2008,3,2.116
2008,4,2.001636363636364
2008,5,2.021041666666666
2008,6,2.1034583333333337
2008,7,1.9980000000000002
2008,8,2.3340416666666663
2008,9,2.233916666666667
2008,10,2.1868333333333334
2008,11,2.150166666666667
2008,12,2.191625
2008,13,2.284333333333333
2008,14,2.7340416666666663
2008,15,2.239956521739131
2008,16,2.2365416666666667
2008,17,2.19425
2008,18,2.0859166666666664
2008,19,2.2822916666666666
2008,20,1.9489565217391305
2008,21,2.1106666666666665
2008,22,2.0897826086956517
2008,23,2.1155
2008,24,2.09575
2008,25,1.9747083333333333
2008,26,1.9261666666666668
2008,27,1.974095238095238
2008,28,2.031875
2008,29,2.0297916666666667
2008,30,1.913375
2008,31,2.0407727272727274
2008,32,1.90525
2008,33,2.035416666666667
2008,34,1.9672916666666669
2008,35,1.9446666666666663
2008,36,2.2305
2008,37,1.9101666666666668
2008,38,2.0067916666666665
2008,39,1.809
2008,40,2.0075
2008,41,1.979375
2008,42,1.90975
2008,43,2.019625
2008,44,2.2572173913043483
2008,45,1.9385416666666668
2008,46,1.93725
2008,47,2.1593750000000003
2008,48,2.047708333333333
2008,49,1.9689583333333327
2008,50,2.046416666666667
2008,51,2.0986666666666665
2008,52,2.000125
2009,1,1.93875
2009,2,1.9103478260869569
2009,3,2.0817826086956517
2009,4,1.9804347826086957
2009,5,1.9928260869565215
2009,6,2.13825
2009,7,2.2040416666666665
2009,8,2.2105416666666664
2009,9,2.183739130434782
2009,10,1.9389166666666664
2009,11,2.285708333333333
2009,12,2.199291666666667
2009,13,2.101875
2009,14,2.168875
2009,15,2.1247391304347825
2009,16,2.162875
2009,17,2.11125
2009,18,1.89225
2009,19,1.9976666666666667
2009,20,2.08825
2009,21,2.0941666666666667
2009,22,2.148875
2009,23,2.062583333333333
2009,24,2.061208333333333
2009,25,2.206208333333333
2009,26,1.8502916666666664
2009,27,1.8662083333333332
2009,28,1.7837826086956523
2009,29,1.7567826086956522
2009,30,1.7942608695652174
2009,31,1.9135833333333332
2009,32,1.9361666666666664
2009,33,1.9547916666666667
2009,34,1.7435
2009,35,1.7388181818181818
2009,36,1.7212499999999995
2009,37,1.7463749999999998
2009,38,1.7597083333333332
2009,39,1.719541666666667
2009,40,1.6924347826086958
2009,41,1.73275
2009,42,1.785958333333333
2009,43,1.7847916666666668
2009,44,1.7681250000000002
2009,45,1.833875
2009,46,1.7917499999999995
2009,47,1.8120833333333333
2009,48,1.7157083333333334
2009,49,1.7463750000000002
2009,50,1.8772083333333327
2009,51,1.7539999999999998
2009,52,2.057391304347826
2009,53,1.9090416666666667
2010,1,2.1144166666666666
2010,2,1.842782608695652
2010,3,2.137083333333333
2010,4,2.1319583333333334
2010,5,1.94025
2010,6,2.160708333333333
2010,7,2.095125
2010,8,2.266125
2010,9,1.9479583333333328
2010,10,2.14025
2010,11,2.0323333333333333
2010,12,1.8136818181818184
2010,13,1.8460833333333333
2010,14,2.063083333333333
2010,15,1.9455416666666665
2010,16,1.9802916666666668
