年,週,mean_value
2008,1,72.16666666666667
2008,2,141.58333333333334
2008,3,51.95833333333334
2008,4,54.65217391304348
2008,5,40.833333333333336
2008,6,70.70833333333333
2008,7,62.95833333333334
2008,8,123.08333333333331
2008,9,98.25
2008,10,141.16666666666666
2008,11,81.70833333333333
2008,12,107.16666666666669
2008,13,112.65217391304348
2008,14,78.875
2008,15,74.41666666666667
2008,16,67.45833333333333
2008,17,105.08333333333331
2008,18,60.625
2008,19,56.5
2008,20,83.79166666666667
2008,21,82.45833333333333
2008,22,74.66666666666667
2008,23,54.83333333333334
2008,24,46.25
2008,25,54.125
2008,26,53.83333333333334
2008,27,60.75
2008,28,37.16666666666666
2008,29,39.625
2008,30,66.375
2008,31,41.083333333333336
2008,32,56.41666666666666
2008,33,83.45833333333333
2008,34,46.875
2008,35,59.0
2008,36,75.125
2008,37,30.20833333333333
2008,38,59.58333333333334
2008,39,39.833333333333336
2008,40,57.90909090909091
2008,41,54.91666666666666
2008,42,40.79166666666666
2008,43,83.29166666666667
2008,44,81.1304347826087
2008,45,49.41666666666666
2008,46,44.41666666666666
2008,47,64.0
2008,48,90.45833333333331
2008,49,124.34782608695652
2008,50,65.33333333333333
2008,51,88.70833333333331
2008,52,82.9
2009,1,61.16666666666666
2009,2,77.41666666666667
2009,3,79.625
2009,4,97.5
2009,5,42.375
2009,6,61.54166666666666
2009,7,91.0
2009,8,89.375
2009,9,80.79166666666667
2009,10,37.625
2009,11,70.0
2009,12,117.25
2009,13,79.08695652173913
2009,14,83.58333333333333
2009,15,81.0
2009,16,49.875
2009,17,310.1666666666667
2009,18,58.625
2009,19,62.58333333333334
2009,20,64.5
2009,21,66.25
2009,22,78.08333333333333
2009,23,79.18181818181819
2009,24,73.52173913043478
2009,25,41.41666666666666
2009,26,52.79166666666666
2009,27,50.5
2009,28,50.83333333333334
2009,29,34.208333333333336
2009,30,54.875
2009,31,54.58333333333334
2009,32,40.75
2009,33,60.95833333333334
2009,34,61.125
2009,35,67.16666666666667
2009,36,34.458333333333336
2009,37,52.45833333333334
2009,38,47.33333333333334
2009,39,43.54166666666666
2009,40,52.41666666666666
2009,41,50.91666666666666
2009,42,108.79166666666669
2009,43,128.75
2009,44,81.33333333333333
2009,45,81.33333333333333
2009,46,52.625
2009,47,29.58333333333333
2009,48,60.5
2009,49,81.375
2009,50,93.79166666666669
2009,51,76.45833333333333
2009,52,175.20833333333337
2009,53,136.66666666666666
2010,1,110.33333333333331
2010,2,78.04166666666667
2010,3,108.5
2010,4,121.45833333333331
2010,5,84.04166666666667
2010,6,98.69565217391305
2010,7,67.125
2010,8,115.82608695652172
2010,9,114.625
2010,10,65.5
2010,11,898.4583333333335
2010,12,199.375
2010,13,80.75
2010,14,90.41666666666669
2010,15,78.66666666666667
2010,16,73.08333333333333
2010,17,161.125
2010,18,86.95833333333331
2010,19,72.79166666666667
2010,20,67.5
2010,21,60.58333333333334
2010,22,45.25
2010,23,54.125
2010,24,48.29166666666666
2010,25,46.16666666666666
2010,26,77.125
2010,27,56.41666666666666
2010,28,41.583333333333336
2010,29,45.904761904761905
2010,30,47.125
2010,31,60.83333333333334
2010,32,52.16666666666666
2010,33,36.16666666666666
2010,34,29.75
2010,35,34.708333333333336
2010,36,45.58333333333334
2010,37,50.5
2010,38,36.333333333333336
2010,39,46.66666666666666
2010,40,81.75
2010,41,55.29166666666666
2010,42,42.66666666666666
2010,43,67.41666666666667
2010,44,75.875
2010,45,101.91666666666669
2010,46,52.70833333333334
2010,47,73.20833333333333
2010,48,120.28571428571428
2010,49,98.125
2010,50,84.66666666666667
2010,51,102.25
2010,52,95.29166666666669
2011,1,62.125
2011,2,58.33333333333334
2011,3,46.29166666666666
2011,4,75.875
2011,5,64.91666666666667
2011,6,89.16666666666669
2011,7,71.75
2011,8,64.375
2011,9,119.0
2011,10,103.375
2011,11,106.54166666666669
2011,12,86.25
2011,13,73.66666666666667
2011,14,79.95833333333333
2011,15,118.125
2011,16,146.83333333333334
2011,17,109.45833333333331
2011,18,78.70833333333333
2011,19,65.70833333333333
2011,20,55.33333333333334
2011,21,44.125
2011,22,69.16666666666667
2011,23,44.04166666666666
2011,24,47.375
2011,25,26.5
2011,26,46.0
