,年,週,年齡別,縣市,腸病毒急診就診人次
0,2007,1,1-3,新北市,8
1,2007,3,1-3,新竹市,6
2,2007,6,1-3,花蓮縣,2
3,2007,13,0,新竹市,1
4,2007,15,1-3,高雄市,3
5,2007,16,1-3,桃園市,6
6,2007,17,1-3,桃園市,6
7,2007,18,4-6,桃園市,1
8,2007,19,1-3,桃園市,5
9,2007,19,0,花蓮縣,3
10,2007,20,0,新竹市,1
11,2007,20,1-3,彰化縣,30
12,2007,21,0,高雄市,1
13,2007,21,0,彰化縣,1
14,2007,22,1-3,台東縣,11
15,2007,22,1-3,澎湖縣,10
16,2007,23,1-3,高雄市,32
17,2007,23,4-6,新竹市,6
18,2007,23,0,澎湖縣,1
19,2007,24,0,屏東縣,2
20,2007,25,1-3,宜蘭縣,6
21,2007,25,0,屏東縣,5
22,2007,26,1-3,雲林縣,8
23,2007,1,1-3,新竹市,15
24,2007,3,0,新竹縣,1
25,2007,3,7-15,高雄市,1
26,2007,4,1-3,南投縣,1
27,2007,4,1-3,新北市,5
28,2007,4,1-3,新竹縣,4
29,2007,4,4-6,新北市,1
30,2007,4,7-15,台中市,2
31,2007,4,7-15,彰化縣,1
32,2007,5,1-3,南投縣,1
33,2007,6,1-3,桃園市,3
34,2007,9,1-3,桃園市,2
35,2007,10,1-3,嘉義縣,1
36,2007,10,0,高雄市,1
37,2007,11,1-3,台中市,1
38,2007,13,1-3,嘉義市,1
39,2007,13,7-15,台中市,1
40,2007,18,1-3,台北市,15
41,2007,18,1-3,台東縣,4
42,2007,19,4-6,台南市,2
43,2007,20,4-6,新竹市,1
44,2007,21,1-3,宜蘭縣,7
45,2007,21,4-6,屏東縣,1
46,2007,2,1-3,台中市,12
47,2007,3,1-3,台南市,2
48,2007,3,1-3,桃園市,7
49,2007,4,1-3,彰化縣,3
50,2007,4,4-6,基隆市,1
51,2007,4,0,高雄市,1
52,2007,4,7-15,新竹市,1
53,2007,5,1-3,嘉義縣,1
54,2007,6,1-3,台北市,5
55,2007,8,4-6,台北市,4
56,2007,9,1-3,台北市,4
57,2007,9,0,新北市,1
58,2007,9,0,新竹縣,1
59,2007,10,0,台中市,1
60,2007,11,4-6,高雄市,1
61,2007,14,1-3,新北市,3
62,2007,15,1-3,嘉義市,1
63,2007,16,7-15,高雄市,1
64,2007,17,4-6,嘉義縣,1
65,2007,18,0,台東縣,1
66,2007,19,4-6,嘉義縣,1
67,2007,19,0,高雄市,2
68,2007,22,7-15,新北市,1
69,2007,2,4-6,苗栗縣,1
70,2007,2,7-15,屏東縣,1
71,2007,6,4-6,新北市,1
72,2007,7,4-6,新北市,1
73,2007,8,16+,桃園市,1
74,2007,9,1-3,雲林縣,1
75,2007,9,4-6,新北市,1
76,2007,9,0,南投縣,1
77,2007,10,4-6,高雄市,1
78,2007,11,1-3,新北市,3
79,2007,14,1-3,宜蘭縣,1
80,2007,14,1-3,嘉義縣,1
81,2007,20,1-3,苗栗縣,5
82,2007,20,1-3,嘉義縣,4
83,2007,21,1-3,台中市,29
84,2007,21,4-6,雲林縣,4
85,2007,22,16+,台北市,1
86,2007,24,1-3,屏東縣,15
87,2007,24,4-6,花蓮縣,2
88,2007,24,4-6,苗栗縣,1
89,2007,27,0,新竹市,2
90,2007,27,4-6,台北市,28
91,2007,27,7-15,宜蘭縣,1
92,2007,1,0,新北市,2
93,2007,2,0,台北市,3
94,2007,2,0,高雄市,1
95,2007,2,0,新竹市,1
96,2007,5,1-3,台南市,1
97,2007,6,0,雲林縣,1
98,2007,6,1-3,南投縣,1
99,2007,7,4-6,彰化縣,1
100,2007,8,4-6,台南市,1
101,2007,8,4-6,嘉義市,1
102,2007,12,0,台南市,1
103,2007,15,7-15,新竹市,1
104,2007,16,1-3,嘉義市,1
105,2007,16,4-6,苗栗縣,1
106,2007,17,1-3,嘉義市,1
107,2007,18,1-3,宜蘭縣,3
108,2007,18,0,雲林縣,1
109,2007,19,4-6,宜蘭縣,2
110,2007,21,0,台北市,7
111,2007,21,0,桃園市,5
112,2007,22,4-6,彰化縣,14
113,2007,23,4-6,嘉義縣,3
114,2007,23,0,新竹市,3
115,2007,1,0,台北市,2
116,2007,3,0,台中市,1
117,2007,3,0,台北市,1
118,2007,7,1-3,高雄市,2
119,2007,8,0,高雄市,1
120,2007,12,1-3,桃園市,4
121,2007,14,7-15,台東縣,1
122,2007,17,4-6,彰化縣,6
123,2007,17,7-15,台南市,1
124,2007,18,1-3,新北市,4
125,2007,18,1-3,新竹縣,1
