類別：所有類別

月,腸病毒: (全球)
2004-01,9
2004-02,7
2004-03,12
2004-04,22
2004-05,23
2004-06,12
2004-07,14
2004-08,9
2004-09,7
2004-10,16
2004-11,25
2004-12,23
2005-01,7
2005-02,2
2005-03,6
2005-04,6
2005-05,43
2005-06,74
2005-07,24
2005-08,15
2005-09,17
2005-10,14
2005-11,6
2005-12,7
2006-01,2
2006-02,1
2006-03,8
2006-04,5
2006-05,10
2006-06,11
2006-07,9
2006-08,8
2006-09,2
2006-10,1
2006-11,8
2006-12,8
2007-01,2
2007-02,4
2007-03,3
2007-04,4
2007-05,15
2007-06,11
2007-07,10
2007-08,10
2007-09,5
2007-10,5
2007-11,6
2007-12,7
2008-01,8
2008-02,12
2008-03,9
2008-04,13
2008-05,30
2008-06,100
2008-07,33
2008-08,8
2008-09,6
2008-10,5
2008-11,7
2008-12,5
2009-01,3
2009-02,4
2009-03,6
2009-04,15
2009-05,9
2009-06,9
2009-07,7
2009-08,6
2009-09,5
2009-10,4
2009-11,2
2009-12,4
2010-01,3
2010-02,5
2010-03,6
2010-04,9
2010-05,18
2010-06,31
2010-07,23
2010-08,15
2010-09,16
2010-10,15
2010-11,8
2010-12,5
2011-01,4
2011-02,3
2011-03,2
2011-04,3
2011-05,8
2011-06,8
2011-07,11
2011-08,14
2011-09,10
2011-10,8
2011-11,9
2011-12,11
2012-01,8
2012-02,10
2012-03,10
2012-04,19
2012-05,26
2012-06,27
2012-07,19
2012-08,11
2012-09,10
2012-10,9
2012-11,7
2012-12,8
2013-01,8
2013-02,8
2013-03,8
2013-04,12
2013-05,30
2013-06,54
2013-07,32
2013-08,21
2013-09,16
2013-10,14
2013-11,14
2013-12,10
2014-01,12
2014-02,9
2014-03,11
2014-04,20
2014-05,39
2014-06,50
2014-07,25
2014-08,13
2014-09,14
2014-10,11
2014-11,9
2014-12,9
2015-01,11
2015-02,9
2015-03,9
2015-04,19
2015-05,40
2015-06,53
2015-07,34
2015-08,25
2015-09,36
2015-10,35
2015-11,38
2015-12,30
2016-01,14
2016-02,11
2016-03,21
2016-04,30
2016-05,52
2016-06,53
2016-07,31
2016-08,20
2016-09,24
2016-10,28
2016-11,32
2016-12,38
2017-01,23
2017-02,13
2017-03,15
2017-04,12
2017-05,17
2017-06,31
2017-07,37
2017-08,42
2017-09,60
2017-10,49
2017-11,36
2017-12,31
2018-01,22
2018-02,13
2018-03,19
2018-04,17
2018-05,27
