時間,地區,average_humidity
2010-01-01,大直,71.41666666666667
2010-01-02,大直,88.04166666666669
2010-01-03,大直,85.70833333333333
2010-01-04,大直,82.125
2010-01-05,大直,82.95833333333333
2010-01-06,大直,88.95833333333331
2010-01-07,大直,91.58333333333331
2010-01-08,大直,91.41666666666669
2010-01-09,大直,79.375
2010-01-10,大直,84.0
2010-01-11,大直,83.75
2010-01-12,大直,78.08333333333333
2010-01-13,大直,62.70833333333334
2010-01-14,大直,58.66666666666666
2010-01-15,大直,57.08333333333334
2010-01-16,大直,75.75
2010-01-17,大直,74.45833333333333
2010-01-18,大直,68.16666666666667
2010-01-19,大直,61.29166666666666
2010-01-20,大直,67.83333333333333
2010-01-21,大直,74.91666666666667
2010-01-22,大直,84.58333333333333
2010-01-23,大直,89.20833333333331
2010-01-24,大直,89.875
2010-01-25,大直,88.75
2010-01-26,大直,71.5
2010-01-27,大直,74.83333333333333
2010-01-28,大直,87.0
2010-01-29,大直,76.83333333333333
2010-01-30,大直,81.20833333333333
2010-01-31,大直,78.58333333333333
2010-02-01,大直,85.20833333333333
2010-02-02,大直,85.0
2010-02-03,大直,89.33333333333331
2010-02-04,大直,88.33333333333331
2010-02-05,大直,90.45833333333331
2010-02-06,大直,93.29166666666669
2010-02-07,大直,94.54166666666669
2010-02-08,大直,84.54166666666667
2010-02-09,大直,85.29166666666667
2010-02-10,大直,82.16666666666667
2010-02-11,大直,78.45833333333333
2010-02-12,大直,78.75
2010-02-13,大直,88.66666666666669
2010-02-14,大直,87.41666666666669
2010-02-15,大直,87.25
2010-02-16,大直,87.54166666666669
2010-02-17,大直,93.04166666666669
2010-02-18,大直,88.41666666666669
2010-02-19,大直,93.0
2010-02-20,大直,87.41666666666669
2010-02-21,大直,86.66666666666669
2010-02-22,大直,87.25
2010-02-23,大直,75.04166666666667
2010-02-24,大直,71.20833333333333
2010-02-25,大直,74.08333333333333
2010-02-26,大直,77.70833333333333
2010-02-27,大直,89.16666666666669
2010-02-28,大直,78.66666666666667
2010-03-01,大直,76.83333333333333
2010-03-02,大直,87.41666666666669
2010-03-03,大直,83.79166666666667
2010-03-04,大直,83.79166666666667
2010-03-05,大直,82.54166666666667
2010-03-06,大直,85.33333333333333
2010-03-07,大直,81.66666666666667
2010-03-08,大直,89.04166666666669
2010-03-09,大直,77.08333333333333
2010-03-10,大直,58.66666666666666
2010-03-11,大直,57.5
2010-03-12,大直,63.04166666666666
2010-03-13,大直,85.125
2010-03-14,大直,75.75
2010-03-15,大直,84.70833333333333
2010-03-16,大直,75.25
2010-03-17,大直,80.91666666666667
2010-03-18,大直,75.0
2010-03-19,大直,70.58333333333333
2010-03-20,大直,80.75
2010-03-21,大直,68.375
2010-03-22,大直,70.25
2010-03-23,大直,73.45833333333333
2010-03-24,大直,86.125
