年,月,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
2008,1,2629689,20881,22224,22332,23030,23384,25336,25322,30664,29237,27669,33864,34311,35778,34031,33572,32559,2175495
2008,2,2630966,21184,22261,22272,22890,23207,25402,24979,30334,29513,27569,33576,34430,35554,34145,33598,32604,2177448
2008,3,2631605,21203,22263,22290,22772,23086,25162,24818,30086,29385,27808,33220,34306,35586,34274,33615,32706,2179025
2008,4,2630966,21257,22301,22131,22762,22879,25042,24722,29731,29426,28079,32821,34232,35648,34194,33683,32772,2179286
2008,5,2630515,21188,22326,22020,22871,22821,24746,24531,29393,29411,28382,32455,34116,35626,34221,33602,32939,2179867
2008,6,2630191,21155,22269,21976,22915,22597,24627,24516,29057,29371,28445,32308,34138,35561,34280,33641,32967,2180368
2008,7,2628699,20963,22318,21958,22811,22545,24491,24382,28583,29496,28634,31768,34320,35350,34269,33582,32960,2180269
2008,8,2626114,20592,22359,21967,22674,22546,24382,24186,28144,29587,28742,31313,34260,35143,34304,33446,32865,2179604
2008,9,2622933,20370,22372,22054,22469,22634,24051,24298,27372,29896,28882,30422,34523,34958,34110,33447,32863,2178212
2008,10,2622539,20159,22425,22159,22158,22854,23656,24492,26704,30268,29041,29591,34747,34550,34297,33355,32895,2179188
2008,11,2622125,19999,22732,22254,22050,22809,23348,24610,25949,30575,29388,28776,34589,34275,34647,33382,32767,2179975
2008,12,2622923,19755,22932,22186,22039,22649,23265,24571,25355,30933,29382,28294,34613,33955,34791,33443,32784,2181976
2009,1,2622090,19192,23113,22114,22045,22699,22945,24614,25001,30837,29533,27999,34253,33983,35000,33364,32939,2182459
2009,2,2620273,19391,23221,22146,21934,22618,22688,24645,24632,30567,29763,27900,34005,34179,34614,33430,32902,2181638
2009,3,2619920,19864,23111,22124,21938,22451,22600,24388,24525,30297,29665,28159,33668,34157,34624,33564,32926,2181859
2009,4,2618476,19347,23123,22151,21759,22430,22424,24276,24432,29936,29707,28455,33251,34157,34613,33477,33038,2181900
2009,5,2617566,19022,22993,22123,21674,22546,22406,23932,24346,29599,29685,28732,32892,34152,34551,33530,32993,2182390
2009,6,2616520,19118,22969,22087,21605,22573,22256,23770,24422,29242,29626,28823,32739,34366,34351,33591,32989,2181993
2009,7,2615285,19229,22793,22108,21644,22511,22271,23621,24406,28797,29784,29082,32206,34534,34210,33641,32881,2181567
