時間,地區,max_temp,min_temp,average_temp
2010-01-01,大直,18.4,13.7,16.379166666666666
2010-01-02,大直,19.0,15.3,16.683333333333334
2010-01-03,大直,17.2,14.2,15.6625
2010-01-04,大直,21.1,14.3,17.266666666666666
2010-01-05,大直,17.4,13.7,14.845833333333333
2010-01-06,大直,15.0,13.8,14.416666666666664
2010-01-07,大直,13.9,13.2,13.558333333333332
2010-01-08,大直,14.5,13.1,13.641666666666666
2010-01-09,大直,21.8,14.5,18.091666666666672
2010-01-10,大直,24.6,15.7,18.204166666666666
2010-01-11,大直,18.0,13.4,16.2375
2010-01-12,大直,12.8,8.0,10.2625
2010-01-13,大直,14.2,6.9,10.395833333333334
2010-01-14,大直,17.4,8.4,12.975
2010-01-15,大直,21.1,11.6,17.204166666666666
2010-01-16,大直,18.0,15.5,16.829166666666666
2010-01-17,大直,17.8,16.2,16.991666666666664
2010-01-18,大直,23.4,16.3,19.804166666666667
2010-01-19,大直,27.2,18.1,22.46666666666667
2010-01-20,大直,26.7,18.3,22.4875
2010-01-21,大直,25.2,15.6,20.291666666666668
2010-01-22,大直,15.8,14.3,15.15
2010-01-23,大直,15.2,13.5,14.383333333333333
2010-01-24,大直,20.8,15.3,17.754166666666666
2010-01-25,大直,17.0,13.4,15.5
2010-01-26,大直,18.3,14.1,15.925
2010-01-27,大直,22.2,16.1,19.733333333333334
2010-01-28,大直,21.2,17.8,19.008333333333333
2010-01-29,大直,20.4,17.1,19.1375
2010-01-30,大直,25.6,17.5,19.691666666666666
2010-01-31,大直,26.2,17.0,20.975
2010-02-01,大直,20.3,15.7,18.5
2010-02-02,大直,20.4,15.6,17.595833333333328
2010-02-03,大直,18.3,15.7,17.083333333333332
2010-02-04,大直,20.0,17.0,17.866666666666667
2010-02-05,大直,20.2,16.5,17.733333333333334
2010-02-06,大直,19.5,17.0,18.033333333333328
2010-02-07,大直,18.1,15.7,16.679166666666664
2010-02-08,大直,25.9,16.2,20.05
2010-02-09,大直,25.5,17.3,20.783333333333328
2010-02-10,大直,29.0,18.9,22.741666666666664
2010-02-11,大直,28.2,15.3,22.866666666666664
2010-02-12,大直,14.9,11.1,12.5
2010-02-13,大直,16.4,11.7,13.183333333333332
2010-02-14,大直,21.3,15.3,17.2
2010-02-15,大直,15.8,13.0,14.5375
2010-02-16,大直,13.2,11.5,12.1125
2010-02-17,大直,12.8,11.0,12.083333333333336
2010-02-18,大直,11.7,9.9,10.829166666666666
2010-02-19,大直,11.4,9.7,10.7125
2010-02-20,大直,15.9,10.8,13.679166666666665
2010-02-21,大直,19.5,12.8,15.858333333333334
2010-02-22,大直,18.4,14.5,16.208333333333332
2010-02-23,大直,24.0,13.7,18.61666666666667
2010-02-24,大直,26.1,15.8,21.066666666666666
2010-02-25,大直,27.5,19.3,22.629166666666666
2010-02-26,大直,30.6,19.0,23.91666666666667
2010-02-27,大直,23.2,19.6,21.766666666666666
2010-02-28,大直,25.5,19.9,22.8
2010-03-01,大直,29.1,21.1,24.57916666666667
2010-03-02,大直,22.4,18.0,20.533333333333328
2010-03-03,大直,27.9,19.2,21.45
2010-03-04,大直,27.0,20.1,22.97916666666667
2010-03-05,大直,27.1,21.0,23.65416666666667
2010-03-06,大直,28.0,17.0,21.9375
2010-03-07,大直,16.6,13.4,14.704166666666666
2010-03-08,大直,17.8,14.7,16.204166666666666
2010-03-09,大直,15.4,10.0,11.966666666666667
2010-03-10,大直,10.1,7.9,8.6875
2010-03-11,大直,21.0,8.9,15.754166666666668
2010-03-12,大直,26.1,13.9,20.041666666666668
2010-03-13,大直,22.5,18.7,19.7
2010-03-14,大直,28.9,20.7,24.566666666666666
2010-03-15,大直,28.4,17.1,22.991666666666664
2010-03-16,大直,17.1,13.8,15.270833333333336
2010-03-17,大直,20.7,15.7,17.908333333333328
2010-03-18,大直,24.0,17.1,19.76956521739131
2010-03-19,大直,28.1,16.1,21.92083333333333
2010-03-20,大直,27.6,20.2,23.65000000000001
2010-03-21,大直,23.7,19.6,21.025
