	year,week,腸病毒: (全球)
2004,1,4.0
2004,2,5.2
2004,3,6.4
2004,4,7.6
2004,5,8.8
2004,6,10.0
2004,7,10.5
2004,8,11.0
2004,9,11.5
2004,10,12.0
2004,11,13.8
2004,12,15.6
2004,13,17.4
2004,14,19.2
2004,15,21.0
2004,16,20.0
2004,17,19.0
2004,18,18.0
2004,19,17.0
2004,20,16.4
2004,21,15.8
2004,22,15.2
2004,23,14.6
2004,24,14.0
2004,25,12.75
2004,26,11.5
2004,27,10.25
2004,28,9.0
2004,29,10.75
2004,30,12.5
2004,31,14.25
2004,32,16.0
2004,33,13.4
2004,34,10.8
2004,35,8.2
2004,36,5.6
2004,37,3.0
2004,38,6.0
2004,39,9.0
2004,40,12.0
2004,41,15.0
2004,42,15.5
2004,43,16.0
2004,44,16.5
2004,45,17.0
2004,46,17.6
2004,47,18.2
2004,48,18.8
2004,49,19.4
2004,50,20.0
2004,51,16.75
2004,52,13.5
2004,53,10.25
2005,1,7.0
2005,2,6.6
2005,3,6.2
2005,4,5.8
2005,5,5.4
2005,6,5.0
2005,7,4.5
2005,8,4.0
2005,9,3.5
2005,10,3.0
2005,11,4.0
2005,12,5.0
2005,13,6.0
2005,14,7.0
2005,15,13.0
2005,16,19.0
2005,17,25.0
2005,18,31.0
2005,19,36.8
2005,20,42.6
2005,21,48.4
2005,22,54.2
2005,23,60.0
2005,24,49.5
2005,25,39.0
2005,26,28.5
2005,27,18.0
2005,28,16.5
2005,29,15.0
2005,30,13.5
2005,31,12.0
2005,32,11.8
2005,33,11.6
2005,34,11.4
2005,35,11.2
2005,36,11.0
2005,37,11.5
2005,38,12.0
2005,39,12.5
2005,40,13.0
2005,41,12.0
2005,42,11.0
2005,43,10.0
2005,44,9.0
2005,45,8.0
2005,46,8.5
2005,47,9.0
2005,48,9.5
2005,49,10.0
2005,50,8.0
2005,51,6.0
2005,52,4.0
2006,1,2.0
2006,2,2.0
2006,3,2.0
2006,4,2.0
2006,5,2.0
2006,6,2.0
2006,7,3.25
2006,8,4.5
2006,9,5.75
2006,10,7.0
2006,11,6.25
2006,12,5.5
2006,13,4.75
2006,14,4.0
2006,15,5.75
